readableDate,sessionDuration,0
02:00,120000.0,1
02:02,240000.0,1
02:04,360000.0,1
02:05,120000.0,1
02:06,240000.0,1
02:06,480000.0,1
02:08,360000.0,1
02:08,600000.0,1
02:10,480000.0,1
02:12,600000.0,1
02:12,720000.0,1
02:14,720000.0,1
02:14,840000.0,1
02:15,120000.0,1
02:16,840000.0,1
02:17,240000.0,1
02:18,960000.0,2
02:19,360000.0,1
02:20,1080000.0,2
02:21,480000.0,1
02:22,1200000.0,2
02:23,600000.0,1
02:24,1320000.0,2
02:25,720000.0,1
02:26,1440000.0,2
02:27,120000.0,2
02:27,240000.0,2
02:27,840000.0,1
02:28,1560000.0,2
02:29,360000.0,2
02:30,1680000.0,2
02:31,480000.0,2
02:31,960000.0,1
02:32,1800000.0,2
02:33,600000.0,2
02:33,1080000.0,1
02:34,1920000.0,2
02:35,720000.0,2
02:35,840000.0,2
02:35,1200000.0,1
02:36,2040000.0,2
02:37,960000.0,2
02:37,1320000.0,1
02:38,2160000.0,2
02:39,1080000.0,2
02:40,2280000.0,2
02:41,1200000.0,2
02:42,2400000.0,2
02:43,1320000.0,2
02:44,2520000.0,2
02:45,120000.0,1
02:45,1440000.0,2
02:46,2640000.0,2
02:47,240000.0,1
02:47,1560000.0,2
02:48,2760000.0,1
02:49,360000.0,1
02:49,1680000.0,2
02:50,2880000.0,1
02:51,1800000.0,2
02:52,3000000.0,1
02:53,1920000.0,2
02:54,3120000.0,1
02:55,2040000.0,2
02:56,3240000.0,1
02:57,2160000.0,2
02:58,3360000.0,1
02:59,2280000.0,2
03:00,3480000.0,1
03:01,2400000.0,2
03:02,3600000.0,1
03:03,2520000.0,2
03:04,3720000.0,1
03:05,2640000.0,2
03:06,3840000.0,1
03:07,2760000.0,2
03:08,3960000.0,1
03:09,2880000.0,2
03:10,4080000.0,1
03:12,4200000.0,1
03:14,4320000.0,1
03:16,4440000.0,1
03:18,4560000.0,1
03:20,4680000.0,1
03:22,4800000.0,1
03:26,4920000.0,1
03:29,120000.0,1
03:31,240000.0,1
03:33,120000.0,1
03:33,360000.0,1
03:35,120000.0,1
03:35,240000.0,1
03:35,480000.0,1
03:37,240000.0,1
03:37,360000.0,1
03:37,600000.0,1
03:39,360000.0,1
03:39,480000.0,1
03:39,720000.0,1
03:41,480000.0,1
03:41,600000.0,1
03:41,840000.0,1
03:43,600000.0,1
03:43,720000.0,1
03:43,960000.0,1
03:45,720000.0,1
03:45,840000.0,1
03:45,1080000.0,1
03:47,840000.0,1
03:47,960000.0,1
03:47,1200000.0,1
03:49,960000.0,1
03:49,1080000.0,1
03:49,1320000.0,1
03:51,1080000.0,1
03:51,1200000.0,1
03:51,1440000.0,1
03:52,120000.0,1
03:53,1200000.0,1
03:53,1320000.0,1
03:53,1560000.0,1
03:54,240000.0,1
03:55,1320000.0,1
03:55,1440000.0,1
03:55,1680000.0,1
03:56,360000.0,1
03:57,1440000.0,1
03:57,1800000.0,1
03:58,120000.0,1
03:58,480000.0,1
03:59,1560000.0,1
03:59,1920000.0,1
04:00,240000.0,1
04:00,600000.0,1
04:01,1560000.0,1
04:01,1680000.0,1
04:01,2040000.0,1
04:02,360000.0,1
04:02,720000.0,1
04:03,1680000.0,1
04:03,1800000.0,1
04:03,2160000.0,1
04:04,480000.0,1
04:04,840000.0,1
04:05,1920000.0,1
04:05,2280000.0,1
04:06,600000.0,1
04:06,960000.0,1
04:07,120000.0,1
04:07,1800000.0,1
04:07,2040000.0,1
04:07,2400000.0,1
04:08,720000.0,1
04:08,1080000.0,1
04:09,240000.0,1
04:09,1920000.0,1
04:09,2160000.0,1
04:09,2520000.0,1
04:10,840000.0,1
04:10,1200000.0,1
04:11,360000.0,1
04:11,2040000.0,1
04:11,2280000.0,1
04:11,2640000.0,1
04:12,960000.0,1
04:12,1320000.0,1
04:13,120000.0,1
04:13,480000.0,1
04:13,2160000.0,1
04:13,2400000.0,1
04:13,2760000.0,1
04:14,1080000.0,1
04:14,1440000.0,1
04:15,240000.0,1
04:15,2280000.0,1
04:15,2520000.0,1
04:15,2880000.0,1
04:16,1200000.0,1
04:16,1560000.0,1
04:17,360000.0,1
04:17,2400000.0,1
04:17,2640000.0,1
04:17,3000000.0,1
04:18,120000.0,1
04:18,1320000.0,1
04:18,1680000.0,1
04:19,480000.0,1
04:19,2520000.0,1
04:19,2760000.0,1
04:19,3120000.0,1
04:20,1440000.0,1
04:20,1800000.0,1
04:21,2640000.0,1
04:21,2880000.0,1
04:21,3240000.0,1
04:22,1560000.0,1
04:22,1920000.0,1
04:23,120000.0,1
04:23,2760000.0,1
04:23,3000000.0,1
04:23,3360000.0,1
04:24,1680000.0,1
04:24,2040000.0,1
04:25,600000.0,1
04:25,2880000.0,1
04:25,3120000.0,1
04:25,3480000.0,1
04:26,1800000.0,1
04:26,2160000.0,1
04:27,240000.0,1
04:27,3000000.0,1
04:27,3240000.0,1
04:27,3600000.0,1
04:28,1920000.0,1
04:28,2280000.0,1
04:29,720000.0,1
04:29,3360000.0,1
04:29,3720000.0,1
04:30,2040000.0,1
04:30,2400000.0,1
04:31,840000.0,1
04:31,3480000.0,1
04:31,3840000.0,1
04:32,2160000.0,1
04:32,2520000.0,1
04:33,960000.0,1
04:33,3600000.0,1
04:33,3960000.0,1
04:34,2280000.0,1
04:34,2640000.0,1
04:35,1080000.0,1
04:35,3720000.0,1
04:35,4080000.0,1
04:36,2400000.0,1
04:36,2760000.0,1
04:37,1200000.0,1
